1,728169,8513741,2959
2,728165,8513751,2895
3,728166,8513751,2885
4,728162,8513750,2770
5,728164,8513758,2744
6,728168,8513766,2738
7,728176,8513760,2866
8,728186,8513768,2868
9,728198,8513775,2872
10,728198,8513777,2874
11,728214,8513784,2881
12,728211,8513792,2889
13,728208,8513808,2916
14,728197,8513829,2921
15,728207,8513826,2925
16,728227,8513764,2943
17,728225,8513759,2943
18,728171,8513749,2915
19,728178,8513752,2910
20,728180,8513752,2908
21,716394,8502533,3672
22,716400,8502534,3670
23,716400,8502528,3668
24,716401,8502526,3668
25,716405,8502520,3667
26,716422,8502509,3666
27,716433,8502503,3665
28,716440,8502501,3664
29,716448,8502499,3664
30,716456,8502496,3663
31,716466,8502491,3662
32,716475,8502486,3662
33,716482,8502480,3662
34,716488,8502475,3661
35,716492,8502469,3662
36,716492,8502468,3661
37,716498,8502459,3660
38,716501,8502454,3660
39,716502,8502451,3659
40,716503,8502444,3659
41,716503,8502435,3658
42,716502,8502428,3658
43,716504,8502422,3657
44,716507,8502416,3658
45,716514,8502409,3657
46,716521,8502407,3658
47,716525,8502406,3657
48,716536,8502405,3657
49,716541,8502404,3658
50,716552,8502401,3659
51,716557,8502400,3659
52,716563,8502398,3658
53,716568,8502397,3658
54,716572,8502396,3658
55,716504,8502453,3560
56,716502,8502452,3566
57,716529,8502434,3582
58,716555,8502430,3584
59,716581,8502416,3613
60,716624,8502397,3619
61,716667,8502360,3614
62,716670,8502363,3609
63,716662,8502373,3610
64,716656,8502380,3610
65,716651,8502388,3610
66,716641,8502393,3607
67,716612,8502394,3609
68,716598,8502394,3609
69,716583,8502394,3609
70,716580,8502395,3609
71,716460,8502466,3540
72,716442,8502407,3539
73,716407,8502417,3541
74,716392,8502422,3538
75,716383,8502427,3534
76,716407,8502495,3529
78,742652,8502195,3242
79,740323,8501949,3293
80,740319,8501948,3291
81,740306,8501949,3286
82,740290,8501949,3282
83,740281,8501950,3278
84,740280,8501938,3275
85,740285,8501933,3272
86,740282,8501928,3274
87,740286,8501920,3274
88,740288,8501920,3282
89,740293,8501925,3283
90,740292,8501931,3284
91,740306,8501941,3282
